Date,Losses
2022-02-25,2800.0
2022-02-26,1500.0
2022-02-27,200.0
2022-02-28,800.0
2022-03-01,410.0
2022-03-02,130.0
2022-03-03,3160.0
2022-03-04,166.0
2022-03-05,834.0
2022-03-06,1000.0
2022-03-07,0.0
2022-03-08,1000.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-12,0.0
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,1500.0
2022-03-16,300.0
2022-03-17,200.0
2022-03-18,200.0
2022-03-19,200.0
2022-03-20,300.0
2022-03-21,300.0
2022-03-22,300.0
2022-03-23,300.0
2022-03-24,200.0
2022-03-25,300.0
2022-03-26,300.0
2022-03-27,200.0
2022-03-28,400.0
2022-03-29,200.0
2022-03-30,100.0
2022-03-31,200.0
2022-04-01,200.0
2022-04-02,100.0
2022-04-03,200.0
2022-04-04,300.0
2022-04-05,200.0
2022-04-06,100.0
2022-04-07,300.0
2022-04-08,100.0
2022-04-09,100.0
2022-04-10,200.0
2022-04-11,200.0
2022-04-12,100.0
2022-04-13,200.0
2022-04-14,100.0
2022-04-15,100.0
2022-04-16,100.0
2022-04-17,200.0
2022-04-18,300.0
2022-04-19,200.0
2022-04-20,100.0
2022-04-21,100.0
2022-04-22,200.0
2022-04-23,400.0
2022-04-24,200.0
2022-04-25,100.0
2022-04-26,200.0
2022-04-27,300.0
2022-04-28,400.0
2022-04-29,200.0
2022-04-30,200.0
2022-05-01,300.0
2022-05-02,300.0
2022-05-03,400.0
2022-05-04,300.0
2022-05-05,200.0
2022-05-06,200.0
2022-05-07,200.0
2022-05-08,400.0
2022-05-09,150.0
2022-05-10,350.0
2022-05-11,350.0
2022-05-12,300.0
2022-05-13,250.0
2022-05-14,300.0
2022-05-15,200.0
2022-05-16,300.0
2022-05-17,200.0
2022-05-18,400.0
2022-05-19,200.0
2022-05-20,200.0
2022-05-21,150.0
2022-05-22,200.0
2022-05-23,150.0
2022-05-24,150.0
2022-05-25,100.0
2022-05-26,150.0
2022-05-27,150.0
2022-05-28,250.0
2022-05-29,150.0
2022-05-30,200.0
2022-05-31,150.0
2022-06-01,200.0
2022-06-02,150.0
2022-06-03,100.0
2022-06-04,100.0
2022-06-05,100.0
2022-06-06,100.0
2022-06-07,110.0
2022-06-08,140.0
2022-06-09,200.0
2022-06-10,200.0
2022-06-11,150.0
2022-06-12,100.0
2022-06-13,150.0
2022-06-14,200.0
2022-06-15,250.0
2022-06-16,200.0
2022-06-17,200.0
2022-06-18,200.0
2022-06-19,250.0
2022-06-20,200.0
2022-06-21,300.0
2022-06-22,130.0
2022-06-23,200.0
2022-06-24,100.0
2022-06-25,170.0
2022-06-26,150.0
2022-06-27,150.0
2022-06-28,250.0
2022-06-29,200.0
2022-06-30,150.0
2022-07-01,150.0
2022-07-02,120.0
2022-07-03,100.0
2022-07-04,230.0
2022-07-05,150.0
2022-07-06,150.0
2022-07-07,150.0
2022-07-08,250.0
2022-07-09,300.0
2022-07-10,100.0
2022-07-11,100.0
2022-07-12,70.0
2022-07-13,100.0
2022-07-14,300.0
2022-07-15,130.0
2022-07-16,140.0
2022-07-17,160.0
2022-07-18,150.0
2022-07-19,100.0
2022-07-20,200.0
2022-07-21,100.0
2022-07-22,150.0
2022-07-23,240.0
2022-07-24,280.0
2022-07-25,180.0
2022-07-26,170.0
2022-07-27,200.0
2022-07-28,160.0
2022-07-29,270.0
2022-07-30,170.0
2022-07-31,160.0
2022-08-01,200.0
2022-08-02,140.0
2022-08-03,180.0
2022-08-04,150.0
2022-08-05,150.0
2022-08-06,250.0
2022-08-07,300.0
2022-08-08,140.0
2022-08-09,300.0
2022-08-10,160.0
2022-08-11,200.0
2022-08-12,200.0
2022-08-13,200.0
2022-08-14,150.0
2022-08-15,200.0
2022-08-16,150.0
2022-08-17,200.0
2022-08-18,200.0
2022-08-19,400.0
2022-08-20,200.0
2022-08-21,300.0
2022-08-22,200.0
2022-08-23,150.0
2022-08-24,150.0
2022-08-25,150.0
2022-08-26,400.0
2022-08-27,250.0
2022-08-28,250.0
2022-08-29,350.0
2022-08-30,450.0
2022-08-31,350.0
2022-09-01,450.0
2022-09-02,350.0
2022-09-03,350.0
2022-09-04,450.0
2022-09-05,300.0
2022-09-06,350.0
2022-09-07,460.0
2022-09-08,640.0
2022-09-09,650.0
2022-09-10,350.0
2022-09-11,400.0
2022-09-12,300.0
2022-09-13,350.0
2022-09-14,350.0
2022-09-15,200.0
2022-09-16,200.0
2022-09-17,200.0
2022-09-18,230.0
2022-09-19,170.0
2022-09-20,160.0
2022-09-21,300.0
2022-09-22,400.0
2022-09-23,550.0
2022-09-24,240.0
2022-09-25,400.0
2022-09-26,500.0
2022-09-27,550.0
2022-09-28,400.0
2022-09-29,430.0
2022-09-30,500.0
2022-10-01,530.0
2022-10-02,500.0
2022-10-03,320.0
2022-10-04,370.0
2022-10-05,200.0
2022-10-06,330.0
2022-10-07,350.0
2022-10-08,380.0
2022-10-09,440.0
2022-10-10,370.0
2022-10-11,240.0
2022-10-12,270.0
2022-10-13,420.0
2022-10-14,500.0
2022-10-15,400.0
2022-10-16,300.0
2022-10-17,320.0
2022-10-18,530.0
2022-10-19,430.0
2022-10-20,370.0
2022-10-21,100.0
2022-10-22,320.0
2022-10-23,400.0
2022-10-24,470.0
2022-10-25,480.0
2022-10-26,480.0
2022-10-27,320.0
2022-10-28,480.0
2022-10-29,550.0
2022-10-30,950.0
2022-10-31,620.0
2022-11-01,650.0
2022-11-02,800.0
2022-11-03,730.0
2022-11-04,840.0
2022-11-05,600.0
2022-11-06,490.0
2022-11-07,530.0
2022-11-08,710.0
2022-11-09,780.0
2022-11-10,740.0
2022-11-11,710.0
2022-11-12,810.0
2022-11-13,650.0
2022-11-14,510.0
2022-11-15,710.0
2022-11-16,630.0
2022-11-17,400.0
2022-11-18,350.0
2022-11-19,420.0
2022-11-20,330.0
2022-11-21,390.0
2022-11-22,400.0
2022-11-23,410.0
2022-11-24,310.0
2022-11-25,430.0
2022-11-26,560.0
2022-11-27,600.0
2022-11-28,590.0
2022-11-29,480.0
2022-11-30,500.0
2022-12-01,560.0
2022-12-02,650.0
2022-12-03,510.0
2022-12-04,550.0
2022-12-05,540.0
2022-12-06,510.0
2022-12-07,540.0
2022-12-08,340.0
2022-12-09,310.0
2022-12-10,370.0
2022-12-11,380.0
2022-12-12,620.0
2022-12-13,500.0
2022-12-14,740.0
2022-12-15,590.0
2022-12-16,680.0
2022-12-17,420.0
2022-12-18,590.0
2022-12-19,520.0
2022-12-20,430.0
2022-12-21,510.0
2022-12-22,660.0
2022-12-23,550.0
2022-12-24,480.0
2022-12-25,620.0
2022-12-26,550.0
2022-12-27,620.0
2022-12-28,550.0
2022-12-29,790.0
2022-12-30,690.0
2022-12-31,710.0
2023-01-01,760.0
2023-01-02,720.0
2023-01-03,750.0
2023-01-04,720.0
2023-01-05,810.0
2023-01-06,530.0
2023-01-07,490.0
2023-01-08,430.0
2023-01-09,590.0
2023-01-10,710.0
2023-01-11,490.0
2023-01-12,430.0
2023-01-13,740.0
2023-01-14,530.0
2023-01-15,630.0
2023-01-16,790.0
2023-01-17,870.0
2023-01-18,820.0
2023-01-19,760.0
2023-01-20,770.0
2023-01-21,860.0
2023-01-22,600.0
2023-01-23,720.0
2023-01-24,690.0
2023-01-25,910.0
2023-01-26,780.0
2023-01-27,850.0
2023-01-28,800.0
2023-01-29,650.0
2023-01-30,490.0
2023-01-31,850.0
2023-02-01,920.0
2023-02-02,610.0
2023-02-03,840.0
2023-02-04,720.0
2023-02-05,700.0
2023-02-06,870.0
2023-02-07,1030.0
2023-02-08,910.0
2023-02-09,910.0
2023-02-10,730.0
2023-02-11,1140.0
2023-02-12,900.0
2023-02-13,560.0
2023-02-14,740.0
2023-02-15,690.0
2023-02-16,690.0
2023-02-17,800.0
2023-02-18,1010.0
2023-02-19,590.0
2023-02-20,820.0
2023-02-21,760.0
2023-02-22,620.0
2023-02-23,790.0
2023-02-24,970.0
2023-02-25,650.0
2023-02-26,660.0
2023-02-27,560.0
2023-02-28,550.0
2023-03-01,650.0
2023-03-02,715.0
2023-03-03,765.0
2023-03-04,820.0
2023-03-05,930.0
2023-03-06,650.0
2023-03-07,1060.0
2023-03-08,700.0
2023-03-09,590.0
2023-03-10,870.0
2023-03-11,1010.0
2023-03-12,1090.0
2023-03-13,710.0
2023-03-14,740.0
2023-03-15,980.0
2023-03-16,1040.0
2023-03-17,760.0
2023-03-18,880.0
2023-03-19,710.0
2023-03-20,700.0
2023-03-21,960.0
2023-03-22,920.0
2023-03-23,660.0
2023-03-24,1020.0
2023-03-25,720.0
2023-03-26,660.0
2023-03-27,610.0
2023-03-28,570.0
2023-03-29,610.0
2023-03-30,560.0
2023-03-31,460.0
2023-04-01,630.0
2023-04-02,560.0
2023-04-03,610.0
2023-04-04,530.0
2023-04-05,550.0
2023-04-06,390.0
2023-04-07,480.0
2023-04-08,570.0
2023-04-09,470.0
2023-04-10,670.0
2023-04-11,500.0
2023-04-12,730.0
2023-04-13,540.0
2023-04-14,500.0
2023-04-15,460.0
2023-04-16,520.0
2023-04-17,590.0
2023-04-18,470.0
2023-04-19,620.0
2023-04-20,670.0
2023-04-21,630.0
2023-04-22,680.0
2023-04-23,690.0
2023-04-24,660.0
2023-04-25,690.0
2023-04-26,640.0
2023-04-27,510.0
2023-04-28,540.0
2023-04-29,580.0
2023-04-30,470.0
2023-05-01,450.0
2023-05-02,460.0
2023-05-03,520.0
2023-05-04,650.0
2023-05-05,620.0
2023-05-06,560.0
2023-05-07,660.0
2023-05-08,540.0
2023-05-09,650.0
2023-05-10,690.0
2023-05-11,610.0
2023-05-12,750.0
2023-05-13,590.0
2023-05-14,620.0
2023-05-15,580.0
2023-05-16,520.0
2023-05-17,610.0
2023-05-18,510.0
2023-05-19,660.0
2023-05-20,670.0
2023-05-21,730.0
2023-05-22,720.0
2023-05-23,480.0
2023-05-24,400.0
2023-05-25,500.0
2023-05-26,460.0
2023-05-27,480.0
2023-05-28,400.0
2023-05-29,430.0
2023-05-30,410.0
2023-05-31,470.0
2023-06-01,460.0
2023-06-02,540.0
2023-06-03,560.0
2023-06-04,470.0
2023-06-05,410.0
2023-06-06,800.0
2023-06-07,880.0
2023-06-08,730.0
2023-06-09,1010.0
2023-06-10,890.0
2023-06-11,980.0
2023-06-12,540.0
2023-06-13,470.0
2023-06-14,680.0
2023-06-15,580.0
2023-06-16,590.0
2023-06-17,670.0
2023-06-18,650.0
2023-06-19,630.0
2023-06-20,1010.0
2023-06-21,540.0
2023-06-22,650.0
2023-06-23,680.0
2023-06-24,580.0
2023-06-25,720.0
2023-06-26,950.0
2023-06-27,590.0
2023-06-28,930.0
2023-06-29,680.0
2023-06-30,560.0
2023-07-01,530.0
2023-07-02,790.0
2023-07-03,600.0
2023-07-04,770.0
2023-07-05,670.0
2023-07-06,600.0
2023-07-07,510.0
2023-07-08,630.0
2023-07-09,600.0
2023-07-10,440.0
2023-07-11,540.0
2023-07-12,510.0
2023-07-13,510.0
2023-07-14,550.0
2023-07-15,590.0
2023-07-16,500.0
2023-07-17,620.0
2023-07-18,710.0
2023-07-19,470.0
2023-07-20,530.0
2023-07-21,680.0
2023-07-22,640.0
2023-07-23,630.0
2023-07-24,660.0
2023-07-25,600.0
2023-07-26,460.0
2023-07-27,590.0
2023-07-28,560.0
2023-07-29,390.0
2023-07-30,480.0
2023-07-31,490.0
2023-08-01,500.0
2023-08-02,540.0
2023-08-03,620.0
2023-08-04,640.0
2023-08-05,620.0
2023-08-06,590.0
2023-08-07,540.0
2023-08-08,560.0
2023-08-09,820.0
2023-08-10,580.0
2023-08-11,580.0
2023-08-12,510.0
2023-08-13,560.0
2023-08-14,530.0
2023-08-15,540.0
2023-08-16,650.0
2023-08-17,480.0
2023-08-18,460.0
2023-08-19,500.0
2023-08-20,460.0
2023-08-21,460.0
2023-08-22,410.0
2023-08-23,480.0
2023-08-24,340.0
2023-08-25,470.0
2023-08-26,640.0
